entity_id,entity_type,canonical_name,panel_count,panels,source_labels
ottoman_empire,existing_polity,Ottoman Empire — Massawa port,25,ethiopia|albania|bosnia|bulgaria|croatia|czech_slovakia|greece|hungary|north_macedonia|romania|serbia|ukraine|anatolia|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|yemen|algeria|libya|sudan|tunisia,"Ottoman Empire — Massawa port | Ottoman Empire (16th–19th c.) · Ali Pasha of Ioannina controls south (1788–1822) | Ottoman Empire · Albanian National Awakening (Rilindja) | Ottoman Empire — Bosnia Eyalet / Vilayet (1463–1878) · Muslim, Orthodox & Catholic communities | Ottoman Empire — Danube vilayet · Rumelia · Bulgarian national revival movement | Ottoman Empire — most of Slavonia | Ottoman Empire — Ottoman Hungary (south) | Ottoman Empire — Greek millet · Phanariots · Klephts | Ottoman Empire | Ottoman Hungary (Buda Eyalet) | Ottoman — early conquest | Ottoman Empire — Monastir, Kosovo & Salonika vilayets | Ottoman Empire (suppressed uprising) | Ottoman vassal | Ottoman Empire — conquest complete | Ottoman Empire — Rumelia · Kosovo vilayet | Ottoman Empire (Belgrade — key fortress) | Ottoman Beylik → Sultanate | Ottoman Sultanate (Ankara · Interregnum) | Ottoman Sultanate | Ottoman (Kuwait · N. Gulf) | Ottoman (nominal) | Ottoman Empire (western — Six Vilayets) | Ottoman Empire — Armenian Genocide | Ottoman occupation (Shirvan) | Ottoman Empire (conquest of Egypt 1517) | Ottoman restored | Ottoman Empire (Samtskhe / SW Georgia) | Ottoman Empire — Bilad al-Sham provinces (Damascus · Aleppo · Sidon · Tripoli · Jerusalem) | Ottoman Empire (1st occupation) | Ottoman Empire (2nd occupation) | Ottoman influence (coastal areas) | Ottoman Regency (west) | Ottoman Regency of Algiers | Ottoman Constantine province | Ottoman Regency of Algiers (–1830) | Ottoman Tripolitania | Ottoman direct rule | Ottoman Cyrenaica | Ottoman Empire suzerainty | Ottoman Empire (Eyalet of Tunis)"
roman_empire,existing_polity,Roman Empire — Illyricum · Dalmatia province,23,bosnia|britain_ireland|bulgaria|croatia|france|germany|greece|hungary|iberia|italy|low_countries|romania|serbia|slovenia|switzerland_austria|armenia|azerbaijan|egypt|georgia|iraq|levant|morocco|libya,Roman Empire — Illyricum · Dalmatia province | Roman Britain (Britannia) | Roman | Roman Empire — Regio X (Venetia et Histria) | Roman Empire — Dalmatia province | Roman Empire — Pannonia Savia | Roman Empire — Pannonia Inferior · Pannonia Secunda | Roman Empire — Gallia Belgica · Lugdunensis | Roman Empire — Gallia Lugdunensis | Roman Empire — Narbonensis · Aquitania | Roman Empire — Belgica · Germania Superior | Roman Empire (Christian) | Roman Empire — Germania Superior · Inferior | Roman Macedonia province | Roman Achaea province — Athens as cultural centre | Roman Empire — Pannonia Province | Roman Empire — Dacia Province | Roman Empire — Gallaecia · Lusitania | Roman Empire — Tarraconensis | Roman Empire — Baetica Province | Western Roman Empire | Roman Empire (Italia) | Roman Empire | Roman Empire — Sicilia | Roman Empire — Sardinia | Roman Empire — Germania Inferior | Roman Empire — Gallia Belgica · Germania Inferior | Roman Empire — Gallia Belgica · Germania Superior | Roman Empire (partly) · Goths · Sarmatians · Alans | Roman Empire — Moesia Superior · Dardania provinces | Roman Empire — Singidunum (Belgrade) | Roman Empire — Pannonia province | Roman Empire — Noricum · Pannonia provinces | Roman Empire — Gallia Belgica / Germania Superior | Roman Empire — Raetia Province | Roman Empire — Noricum · Pannonia | Roman Armenia (province) | Byzantine Armenia (eastern thema) | Roman suzerainty (Pompey) | Roman Empire — Lazica (client) | Iberia — Roman client (Pompey treaty) | Roman Empire (Mesopotamia · Assyria provinces) | Roman Republic · Roman Empire | Arabia Petraea | Roman Empire (Christian) · Byzantine | Byzantine | Roman Mauretania Tingitana | Roman (fringe)
umayyad_caliphate,existing_polity,Umayyad Caliphate,17,afghanistan|turkmenistan|uzbekistan|iberia|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|morocco|algeria|libya|tunisia|iran|pakistan,Umayyad Caliphate | Umayyad Caliphate (Tokharistan) | Umayyad Caliphate (Transoxiana conquest) | Umayyad conquest | Umayyad conquest (partial) | Umayyad Caliphate (Al-Andalus) | Umayyad Caliphate (Arminiya) | Umayyad Caliphate (capital: Damascus) | Umayyad Caliphate — conquest of the Maghreb | Umayyad Caliphate — Sindh Province
byzantine_empire,existing_polity,Eastern Roman / Byzantine Empire,17,albania|bosnia|bulgaria|croatia|greece|iberia|north_macedonia|serbia|slovenia|anatolia|armenia|egypt|georgia|levant|algeria|libya|tunisia,Eastern Roman / Byzantine Empire | Byzantine Empire | Byzantine (Lake Ohrid — Ohrid Archbishopric) | Byzantine | Byzantine (Eastern Roman) | Byzantine Empire — Thrace (core territory) | Byzantine Empire — Thrace | Byzantine Empire — Dalmatian coastal theme | Byzantine (coastal cities) | Byzantine Empire restored — Palaiologos dynasty | Byzantine Spania Province | Byzantine Empire (Ohrid — major cultural centre) | Byzantine Empire (contested) | Byzantine (Palaiologos) | Byzantine Armenia (thema) | Byzantine restored | Byzantine Empire (Lazica Province) | Byzantine Empire (Abkhazia border zone) | Byzantine (recovered Antioch) | Byzantine (coastal garrisons) | Byzantine Exarchate of Africa
rashidun_caliphate,existing_polity,Rashidun Caliphate (Herat conquered 651),15,afghanistan|turkmenistan|uzbekistan|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|algeria|libya|tunisia|iran|pakistan,Rashidun Caliphate (Herat conquered 651) | Rashidun conquest (Balkh 652) | Rashidun Caliphate | Rashidun Caliphate (Arminiya) | Rashidun Caliphate (frontier raids)
abbasid_caliphate,existing_polity,Abbasid Caliphate,15,afghanistan|turkmenistan|uzbekistan|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|yemen|algeria|libya|iran|pakistan,Abbasid Caliphate | Abbasid Caliphate (Arminiya) | Abbasid restored | Abbasid Caliphate (Islamic Golden Age · Samarra period) | Abbasid Caliphate (nominal · Baghdad) | Abbasid Caliphate (nominal) | Rashidun · Umayyad · Abbasid caliphates | Abbasid / Muhallabid governors | Abbasid Caliphate — Sindh Province
russian_empire,existing_polity,Russian Empire (Small Zhuz protectorate),15,kazakhstan|turkmenistan|uzbekistan|manchuria|mongolia|baltic|belarus|romania|russia|scandinavia|ukraine|armenia|azerbaijan|georgia|iran,Russian Empire (Small Zhuz protectorate) | Russian Empire (Zakaspi Oblast) | Russian Empire (Syr-Darya Oblast · Russian Turkestan) | Russian Empire (Akmolinsk / Turgai Oblast) | Russian Empire (Semirechye Oblast) | Russian Empire (Transcaspia Oblast — conquest of Merv) | Russian Empire — Battle of Geok-Tepe (Tekke defeated) | Russian Empire (Khiva Protectorate) | Russian Empire (Bukhara Protectorate) | Russian Empire (Kokand Protectorate) | Russian Empire — Fergana Oblast (direct rule) | Russian Empire — Amur | Russian Empire — CER · Trans-Siberian Rwy | Russian Empire | Russian Empire — Governorate of Estonia (Reval) | Russian Empire (Partitions of Poland 1795) | Russian Empire — Partitions of Poland | Russian Empire annexes Bessarabia | Russian Empire — Bessarabia (east of Prut) | Russian Empire (proclaimed 1721) | Russian Empire — Volga-Don region | Russian Empire — Siberian expansion continues | Russian Empire — Napoleonic era | Russian Empire — Caucasus wars | Russian Empire — East Siberia · Amur acquired from China | Russian Empire — emancipation of serfs (1861) · industrialisation | Russian Empire — Trans-Siberian Railway | Russian Empire — Trans-Siberian Railway · Russo-Japanese War | Grand Duchy of Finland (Russian Empire — autonomous) | Russian Empire absorbs Right Bank | Russian Empire — New Russia (Novorossiya) | Russian Empire — Crimea annexed | Russian Empire — Kyiv guberniya | Russian Empire — Novorossiya · Odessa (founded 1794) | Russian Empire — Taurida guberniya | Russian Empire (after Turkmenchay) | Russian Empire (Gulistan Treaty) | Russian Empire (Baku Governorate) | Russian Empire (Tiflis Governorate) | Russian Empire (ceded territories) | Russian Empire (occupied)
achaemenid_empire,existing_polity,Achaemenid Empire — Aria Satrapy,14,afghanistan|turkmenistan|uzbekistan|anatolia|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|iran|india|pakistan,Achaemenid Empire — Aria Satrapy | Achaemenid Empire — Arachosia Satrapy | Achaemenid Empire — Bactria Satrapy | Achaemenid Empire — Gandhara / Paropamisadae Satrapies | Achaemenid Empire — Bactria / Gandhara border | Achaemenid Empire (Margiana Satrapy) | Achaemenid Empire (Parthia Satrapy) | Achaemenid Empire (Chorasmia Satrapy) | Achaemenid Empire (Sogdiana Satrapy) | Achaemenid Empire (Ferghana Satrapy) | Hellespontine-Phrygia · Lydia Satrapies | Cappadocia Satrapy | Armenia Satrapy | Achaemenid Maka Satrapy | Achaemenid Empire | Achaemenid Persia — Armenian satrapy | Achaemenid Persia (satrapy) | Achaemenid / 27th Dynasty | Achaemenid / 31st Dynasty | Achaemenid Persia — suzerainty | Achaemenid / Orontid suzerainty | Achaemenid Empire — Gandhara & Hindush Satrapies | Achaemenid Empire — Sindh frontier | Achaemenid Empire — Gandhara Satrapy
mongol_empire,existing_polity,Mongol Empire (Herat sacked 1221; rebuilt),14,afghanistan|kazakhstan|turkmenistan|uzbekistan|xinjiang|china|manchuria|mongolia|hungary|armenia|azerbaijan|georgia|iran|pakistan,Mongol Empire (Herat sacked 1221; rebuilt) | Mongol Empire | Mongol Empire (Balkh destroyed 1220 — 'Mother of Cities' never fully recovered) | Mongol Empire → Il-Khanate → Chagatai | Mongol Empire — Chagatai Khanate | Mongol Empire — Ogedei Khanate | Mongol Empire — Genghis Khan | Mongol Empire (大蒙古国) | Mongol Empire — western invasion | Mongol Empire — northern front | Mongol Empire (蒙古帝國) | Mongol Invasion | Mongol Empire invasion | Mongol Conquest | Mongol Empire — invasions repelled
sassanid_empire,existing_polity,Sassanid Empire,12,afghanistan|turkmenistan|uzbekistan|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|iran|pakistan,Sassanid Empire | Sassanid (restored in Aria) | Sassanid (restored) | Sassanid (Sogdian city-states as vassals) | Sassanid Yemen | Sassanid Marzpanate (Persarmenia) | Sassanid Persia (full control) | Sassanid occupation | Sassanid Iberia (Marzpanate) | Sassanid Persia (East Georgia) | Sassanid Empire (Ctesiphon) | Sassanid | Sassanid Empire (western Sindh frontier) | Sassanid Empire (western influence)
