entity_id,entity_type,canonical_name,dynasty,panel_count,panels,source_labels
aryan_east_iranian_migrations,event,Aryan / East Iranian migrations,,1,afghanistan,Aryan / East Iranian migrations
media_suzerainty,unclassified,Media suzerainty,,1,afghanistan,Media suzerainty
vedic_period,event,Vedic period,,1,afghanistan,Vedic period (early/middle/late) — Arachosia
achaemenid_empire,existing_polity,Achaemenid Empire,,27,afghanistan|turkmenistan|uzbekistan|anatolia|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|iran|india|pakistan,Achaemenid Empire — Aria Satrapy | Achaemenid Empire — Arachosia Satrapy | Achaemenid Empire — Bactria Satrapy | Achaemenid Empire — Gandhara / Paropamisadae Satrapies | Achaemenid Empire — Bactria / Gandhara border | Achaemenid Empire (Margiana Satrapy) | Achaemenid Empire (Parthia Satrapy) | Achaemenid Empire (Chorasmia Satrapy) | Achaemenid Empire (Sogdiana Satrapy) | Achaemenid Empire (Ferghana Satrapy) | Hellespontine-Phrygia · Lydia Satrapies | Cappadocia Satrapy | Armenia Satrapy | Achaemenid Maka Satrapy | Achaemenid Empire | Achaemenid Persia — Armenian satrapy | Achaemenid Persia (satrapy) | Achaemenid / 27th Dynasty | Achaemenid / 31st Dynasty | Achaemenid Persia — suzerainty | Achaemenid / Orontid suzerainty | Achaemenid Empire — Gandhara & Hindush Satrapies | Achaemenid Empire — Sindh frontier | Achaemenid Empire — Gandhara Satrapy
macedonian_empire,existing_polity,Alexander the Great,,14,afghanistan|turkmenistan|uzbekistan|egypt|iraq|levant|iran,Alexander the Great (Alexandria in Aria) | Alexander — Alexandria Arachosia (Kandahar) | Alexander — Alexandria-on-the-Oxus (Balkh) | Alexander — Paropamisadae / Alexandria sub Caucaso | Alexander the Great · Seleucid | Argead dynasty — Alexander the Great · Diadochi | Macedonian Empire (Alexander) | Alexander / Diadochi | Macedonian / Diadochi
seleucid_empire,existing_polity,Seleucid Empire,,18,afghanistan|anatolia|armenia|azerbaijan|iraq|levant|iran|india|pakistan,Seleucid Empire (Aria province) | Seleucid Empire | Seleucid → Greco-Bactrian | Seleucid Empire · Galatia · Paphlagonia | Seleucid suzerainty | Seleucid / Atropatenian suzerainty | Seleucid Empire (briefly)
greco_bactrian_kingdom,existing_polity,Greco-Bactrian Kingdom,,9,afghanistan|turkmenistan|uzbekistan|iran|pakistan,Greco-Bactrian Kingdom (influence) | Greco-Bactrian Kingdom | Greco-Bactrian Kingdom (center — Bactra) | Greco-Bactrian Kingdom (Gandhara)
parthian_empire,existing_polity,Parthian Empire,,10,afghanistan|turkmenistan|arabia|azerbaijan|iraq|iran,Parthian Empire (Aria satrapy) | Parthian Empire (Aria) | Parthian Empire (Arsacid dynasty — from Nisa) | Parthian Empire | Parthian suzerainty | Parthian Empire (Ctesiphon)
maurya_empire,existing_polity,Maurya Empire,,8,afghanistan|iran|india|pakistan,Maurya Empire | Mauryan Empire (briefly) | Maurya Empire — Pataliputra capital · Chandragupta · Ashoka | Maurya Empire — Taxila as provincial capital
indo_greek_kingdom,existing_polity,Indo-Greek Kingdom,,6,afghanistan|india|pakistan,Indo-Greek Kingdom | Indo-Greek Kingdom (Menander I / Milinda) | Indo-Greek Kingdom (lower Sindh)
indo_scythian_kingdom,existing_polity,Indo-Scythian Kingdom,,5,afghanistan|india|pakistan,Indo-Scythian Kingdom | Indo-Scythians | Indo-Scythians — Western Satraps | Indo-Scythians — Northern Satraps
yuezhi_migration_through_bactria,event,Yuezhi migration through Bactria,,1,afghanistan,Yuezhi (Da Yuezhi) migration through Bactria
kushan_empire,existing_polity,Kushan Empire (origins here,,18,afghanistan|turkmenistan|uzbekistan|tibet|iran|india|pakistan,Kushan Empire (origins here — Yuezhi chiefs) | Kushan Empire | Kushan Empire (Bactrian heartland) | Kushan Empire (frontier influence) | Kushan / Saka | Kushan Empire (Mathura second capital) | Kushan Empire — Gandhara Buddhist art flourishes
indo_parthian_kingdom,existing_polity,Indo-Parthian Kingdom,,5,afghanistan|india|pakistan,Indo-Parthian Kingdom | Indo-Parthian Kingdom (Gondophares)
sassanid_empire,existing_polity,Sassanid Empire,,25,afghanistan|turkmenistan|uzbekistan|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|iran|pakistan,Sassanid Empire | Sassanid (restored in Aria) | Sassanid (restored) | Sassanid (Sogdian city-states as vassals) | Sassanid Yemen | Sassanid Marzpanate (Persarmenia) | Sassanid Persia (full control) | Sassanid occupation | Sassanid Iberia (Marzpanate) | Sassanid Persia (East Georgia) | Sassanid Empire (Ctesiphon) | Sassanid | Sassanid Empire (western Sindh frontier) | Sassanid Empire (western influence)
kidarites,existing_polity,Kidarites / Alchon Huns,,12,afghanistan|turkmenistan|uzbekistan|india|pakistan,Kidarites / Alchon Huns (Aria) | Kidarites | Kidarites / Alchon Huns | Kidarites / Xionites | Kidarites (Hunnic)
hephthalites,existing_polity,Hephthalites,,13,afghanistan|kazakhstan|turkmenistan|uzbekistan|xinjiang,Hephthalites | Hephthalites (eastern branch) | Hephthalites (eastern wing)
kushano_sasanian_kingdom,existing_polity,Kushano-Sasanian Kingdom,,8,afghanistan|turkmenistan|uzbekistan|india|pakistan,Kushano-Sasanian Kingdom (south) | Kushano-Sasanian Kingdom | Kushano-Sasanian / Sassanid | Kushano-Sasanian (western frontier)
kidarites_alchon_huns,existing_polity,Kidarites · Alchon Huns,,3,afghanistan|xinjiang,Kidarites · Alchon Huns (Zabulistan) | Kidarites · Alchon Huns
first_turkic_khaganate,existing_polity,First Türkic Empire,,3,afghanistan|mongolia,First Türkic Empire (Tokharistan) | First Türkic Empire | First Turkic Khaganate (突厥)
nezak_huns,existing_polity,Nezak Huns,,3,afghanistan|india,Nezak Huns (brief) | Nezak Huns | Nezak Huns · Turk Shahis (Gandhara)
rashidun_caliphate,existing_polity,Rashidun Caliphate,,17,afghanistan|turkmenistan|uzbekistan|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|algeria|libya|tunisia|iran|pakistan,Rashidun Caliphate (Herat conquered 651) | Rashidun conquest (Balkh 652) | Rashidun Caliphate | Rashidun Caliphate (Arminiya) | Rashidun Caliphate (frontier raids)
