id,name,civilization_id,id_ruling_ethnicity,id_ruling_language,id_ruling_religion,government,territories,start_year,end_year,policies,note
homo_sapiens_migration,Homo Sapiens Migration,,,,,,khorasan|gaul|anatolia|transoxiana|central_asian_steppe|italy|iberia|germany|britannia|scandinavia|balkans|hungary|poland|mesopotamia|levant|arabia|caucasus|egypt,50,,,Stub generated from afghanistan panel; appears in 3 panel(s); needs P6.1 enrichment
hunnic_raids,Hunnic Raids,,,,,,italy|iberia|gaul|germany|britannia|scandinavia|balkans|hungary|poland,,,,Stub generated from bulgaria panel; appears in 3 panel(s); needs P6.1 enrichment
neanderthals,Neanderthals,,,,,,gaul|anatolia|mesopotamia|italy|iberia|germany|britannia|scandinavia|balkans|hungary|poland|levant|arabia|caucasus|egypt,-400,-30,,Stub generated from france panel; appears in 3 panel(s); needs P6.1 enrichment
bantu_expansion,Bantu Expansion,,,,,,,-1000,,,Stub generated from congo panel; appears in 2 panel(s); needs P6.1 enrichment
azanian_coast,Azanian Coast,,,,,,nubia,,,,Stub generated from somalia panel; appears in 2 panel(s); needs P6.1 enrichment
italian_somaliland,Italian Somaliland,,,,,,nubia,1889,,,Stub generated from somalia panel; appears in 2 panel(s); needs P6.1 enrichment
somali_republic,Somali Republic,,,,,republic,nubia,1960,,,Stub generated from somalia panel; appears in 2 panel(s); needs P6.1 enrichment
soviet_reconquest,Soviet Reconquest,,,,,,italy|iberia|gaul|germany|britannia|scandinavia|balkans|hungary|poland,1944,,,Stub generated from baltic panel; appears in 2 panel(s); needs P6.1 enrichment
south_slavic_migration,South Slavic Migration,,,,,,italy|iberia|gaul|germany|britannia|scandinavia|balkans|hungary|poland,,,,Stub generated from bosnia panel; appears in 2 panel(s); needs P6.1 enrichment
hundred_years_war,Hundred Years War,,,,,,britannia|ireland|scotland|gaul|italy|iberia|germany|scandinavia|balkans|hungary|poland,1337,1453,,Stub generated from britain_ireland panel; appears in 2 panel(s); needs P6.1 enrichment
byzantine_reconquest,Byzantine Reconquest,,,,,,italy|iberia|gaul|germany|britannia|scandinavia|balkans|hungary|poland,1018,,,Stub generated from bulgaria panel; appears in 2 panel(s); needs P6.1 enrichment
west_slavic_settlement,West Slavic Settlement,,,,,,poland|italy|iberia|gaul|germany|britannia|scandinavia|balkans|hungary,500,600,,Stub generated from czech_slovakia panel; appears in 2 panel(s); needs P6.1 enrichment
frankish_settlement,Frankish Settlement,,,,,,gaul|germany|italy|iberia|britannia|scandinavia|balkans|hungary|poland,350,,,Stub generated from france panel; appears in 2 panel(s); needs P6.1 enrichment
alemannic_settlement,Alemannic Settlement,,,,,,gaul|italy|iberia|germany|britannia|scandinavia|balkans|hungary|poland,400,,,Stub generated from france panel; appears in 2 panel(s); needs P6.1 enrichment
slavic_migration,Slavic Migration,,,,,,kievan_rus|pontic_steppe|italy|iberia|gaul|germany|britannia|scandinavia|balkans|hungary|poland,,,,Stub generated from romania panel; appears in 2 panel(s); needs P6.1 enrichment
