id,old_id,name,parent_id,description,founded
1,guarani,Guarani,2,,
2,amazonian_other_south_american_cluster,Amazonian & Other South American Cluster,10,,
3,mapuche,Mapuche,2,,
4,tupi,Tupi,2,,
5,yanomami,Yanomami,2,,
6,aymara,Aymara,8,,
7,inca,Inca,8,,
8,andean_cluster,Andean Cluster,10,,
9,quechua,Quechua,8,,
10,american_indigenous_bloc,AMERICAN INDIGENOUS BLOC,,,
11,aztec,Aztec,12,,
12,mesoamerican_cluster,Mesoamerican Cluster,10,,
13,k'iche',K'iche',12,,
14,maya,Maya,12,,
15,quiche,Quiche,12,,
16,apache,Apache,22,,
17,blackfoot,Blackfoot,22,,
18,cherokee,Cherokee,22,,
19,cheyenne,Cheyenne,22,,
20,creek,Creek,22,,
21,crow,Crow,22,,
22,north_american_cluster,North American Cluster,10,,
23,iroquois,Iroquois,22,,
24,navajo,Navajo,22,,
25,sioux_lakota,Sioux / Lakota,22,,
26,abkhaz,Abkhaz,30,,
27,chechen,Chechen,30,,
28,circassian,Circassian,30,,
29,georgian,Georgian,30,,
30,caucasian_peoples,Caucasian Peoples,38,,
31,lezghian,Lezghian,30,,
32,bactrian,Bactrian,33,,
33,central_asian_silk_road,Central Asian & Silk Road,38,,
34,samaritan,Samaritan,33,,
35,sogdian,Sogdian,33,,
36,tajik,Tajik,33,,
37,uyghur,Uyghur,33,,
38,caucasian_other_regional_clusters,CAUCASIAN & OTHER REGIONAL CLUSTERS,,,
39,druze,Druze,40,,
40,levantine_diaspora,Levantine & Diaspora,38,,
41,lebanese,Lebanese,40,,
42,palestinian,Palestinian,40,,
43,syrian,Syrian,40,,
44,yazidi,Yazidi,40,,
45,central_asian_steppe_bloc,CENTRAL ASIAN & STEPPE BLOC,,,
46,azerbaijani,Azerbaijani,48,,
47,gagauz,Gagauz,48,,
48,turkic_cluster,Turkic Cluster,45,,
49,kazakh,Kazakh,48,,
50,kyrgyz,Kyrgyz,48,,
51,tatar,Tatar,48,,
52,turkish,Turkish,48,,
53,turkmen,Turkmen,48,,
54,uyghur,Uyghur,48,,
55,uzbek,Uzbek,48,,
56,estonian,Estonian,58,,
57,finnish,Finnish,58,,
58,uralic_cluster,Uralic Cluster,45,,
59,magyar,Magyar,58,,
60,sami,Sami,58,,
61,creole,Creole,62,,
62,hybrid_multi_ethnic_groups,Hybrid & Multi-ethnic Groups,66,,
63,mestizo,Mestizo,62,,
64,mulatto,Mulatto,62,,
65,métis,Métis,62,,
66,diaspora_cosmopolitan_communities,DIASPORA & COSMOPOLITAN COMMUNITIES,,,
67,coptic,Coptic,68,,
68,religious_ethnic_groups,Religious-Ethnic Groups,66,,
69,ismaili,Ismaili,68,,
70,jewish,Jewish,68,,
71,parsi,Parsi,68,,
72,armenian_diaspora,Armenian diaspora,75,,
73,chinese_diaspora,Chinese diaspora,75,,
74,greek_diaspora,Greek diaspora,75,,
75,trading_merchant_communities,Trading & Merchant Communities,66,,
76,indian_diaspora,Indian diaspora,75,,
77,lebanese_diaspora,Lebanese diaspora,75,,
78,east_asian_bloc,EAST ASIAN BLOC,,,
79,ainu,Ainu,80,,
80,japanese_cluster,Japanese Cluster,78,,
81,ryukyuan,Ryukyuan,80,,
82,yamato,Yamato,80,,
83,korean_cluster,Korean Cluster,78,,
84,jeju_people,Jeju people,83,,
85,korean,Korean,83,,
86,buryat,Buryat,87,,
87,mongolic_cluster,Mongolic Cluster,78,,
88,khitan,Khitan,87,,
89,mongol,Mongol,87,,
90,other_east_asian_groups,Other East Asian Groups,78,,
91,khmer,Khmer,90,,
92,lao,Lao,90,,
93,thai,Thai,90,,
94,vietnamese,Vietnamese,90,,
95,han_chinese,Han Chinese,96,,
96,sinitic_cluster,Sinitic Cluster,78,,
97,evenki,Evenki,98,,
