entity_id,entity_type,canonical_name,dynasty,panel_count,panels,source_labels
homo_sapiens_migration,event,Homo sapiens migration,,3,afghanistan|france|anatolia,Homo sapiens migration
neolithic_farmers_culture,culture,Neolithic farmers,,1,afghanistan,Neolithic farmers
aryan_east_iranian_migrations,event,Aryan / East Iranian migrations,,1,afghanistan,Aryan / East Iranian migrations
helmand_culture,culture,Helmand culture,,2,afghanistan|iran,Helmand culture (Helmand Civilization) | Helmand culture
mundigak,unclassified,Mundigak,,2,afghanistan,Mundigak — Indus-related urban site | Mundigak (eastern contacts)
aryan_migration_vedic_peoples,people,Aryan migration · Vedic peoples,,1,afghanistan,Aryan migration · Vedic peoples
bmac_oxus_civilization_culture,culture,BMAC / Oxus Civilization,,1,afghanistan,BMAC / Oxus Civilization
shortugai,polity,Shortugai,,1,afghanistan,Shortugai (Harappan colony)
aryan_migrations,event,Aryan migrations,,1,afghanistan,Aryan migrations — proto-Bactrian pastoralists
indus_valley_contacts,unclassified,Indus Valley contacts,,1,afghanistan,Indus Valley contacts
gandara_grave_culture,culture,Gandara Grave Culture,,1,afghanistan,Gandara Grave Culture
shortugai_harappan_colony,polity,Shortugai (Harappan colony,,1,afghanistan,Shortugai (Harappan colony — lapis lazuli source)
neolithic_highland_peoples_culture,culture,Neolithic highland peoples,,1,afghanistan,Neolithic highland peoples
east_iranian_peoples_avestan_sphere,people,East Iranian peoples (Avestan sphere,,1,afghanistan,East Iranian peoples (Avestan sphere — 'Haroiva')
media_suzerainty,unclassified,Media suzerainty,,1,afghanistan,Media suzerainty
vedic_period,event,Vedic period,,1,afghanistan,Vedic period (early/middle/late) — Arachosia
gandara_kamboja,people,Gandara · Kamboja,,2,afghanistan,Gandara · Kamboja (Rigvedic peoples) | Gandara · Kamboja (eastern border peoples)
bactrian_pastoralists_avestan_baxi,unclassified,Bactrian pastoralists (Avestan 'Bāxδī',,1,afghanistan,Bactrian pastoralists (Avestan 'Bāxδī' — holy land)
central_asian_nomadic_groups,people,Central Asian nomadic groups,,1,afghanistan,Central Asian nomadic groups
gandara_grave_culture__early_indo_aryan,regime,Gandara Grave Culture — early Indo-Aryan,early Indo-Aryan,1,afghanistan,Gandara Grave Culture — early Indo-Aryan
east_iranian_highland_peoples,people,East Iranian highland peoples,,1,afghanistan,East Iranian highland peoples
nuristani_dardic_ancestors,unclassified,Nuristani / Dardic ancestors,,1,afghanistan,Nuristani / Dardic ancestors (non-Indo-Iranian)
achaemenid_empire,existing_polity,Achaemenid Empire,,17,afghanistan|turkmenistan|uzbekistan|arabia|iraq|levant|iran|india|pakistan,Achaemenid Empire — Aria Satrapy | Achaemenid Empire — Arachosia Satrapy | Achaemenid Empire — Bactria Satrapy | Achaemenid Empire — Gandhara / Paropamisadae Satrapies | Achaemenid Empire — Bactria / Gandhara border | Achaemenid Empire (Margiana Satrapy) | Achaemenid Empire (Parthia Satrapy) | Achaemenid Empire (Chorasmia Satrapy) | Achaemenid Empire (Sogdiana Satrapy) | Achaemenid Empire (Ferghana Satrapy) | Achaemenid Empire | Achaemenid Empire — Gandhara & Hindush Satrapies | Achaemenid Empire — Sindh frontier | Achaemenid Empire — Gandhara Satrapy
alexander_the_great,regime,Alexander the Great (Alexandria in Aria),Alexander the Great,1,afghanistan,Alexander the Great (Alexandria in Aria)
seleucid_empire,existing_polity,Seleucid Empire,,14,afghanistan|iraq|levant|iran|india|pakistan,Seleucid Empire (Aria province) | Seleucid Empire | Seleucid Empire (briefly)
