panel_id,column_id,row_index,stack_index,era,label,note,span,existing_polity_link,category,entity_id,entity_type
afghanistan,herat,0,0,Prehistoric,Homo sapiens migration,"c.50,000 BCE",1,,event,homo_sapiens_migration,event
afghanistan,herat,0,1,Prehistoric,Neolithic farmers,c.7000 BCE,1,,culture,neolithic_farmers_culture,culture
afghanistan,herat,0,2,Prehistoric,Aryan / East Iranian migrations,c.2000–1500 BCE,1,,event,aryan_east_iranian_migrations,event
afghanistan,kandahar,0,0,Prehistoric,Helmand culture (Helmand Civilization),c.3200–2350 BCE,1,,culture,helmand_culture,culture
afghanistan,kandahar,0,1,Prehistoric,Mundigak — Indus-related urban site,c.3000–2000 BCE,1,,unclassified,mundigak,unclassified
afghanistan,kandahar,0,2,Prehistoric,Aryan migration · Vedic peoples,c.2000–1500 BCE,1,,people,aryan_migration_vedic_peoples,people
afghanistan,balkh,0,0,Prehistoric,BMAC / Oxus Civilization,c.2300–1700 BCE,1,,culture,bmac_oxus_civilization_culture,culture
afghanistan,balkh,0,1,Prehistoric,Shortugai (Harappan colony),c.2200–1800 BCE,1,,polity,shortugai,polity
afghanistan,balkh,0,2,Prehistoric,Aryan migrations — proto-Bactrian pastoralists,c.2000–1500 BCE,1,,event,aryan_migrations,event
afghanistan,kabul,0,0,Prehistoric,Indus Valley contacts,c.2500–1700 BCE,1,,unclassified,indus_valley_contacts,unclassified
afghanistan,kabul,0,1,Prehistoric,Mundigak (eastern contacts),c.3000–2000 BCE,1,,unclassified,mundigak,unclassified
afghanistan,kabul,0,2,Prehistoric,Gandara Grave Culture,c.1400–800 BCE,1,,culture,gandara_grave_culture,culture
afghanistan,badakhshan,0,0,Prehistoric,Shortugai (Harappan colony — lapis lazuli source),c.2200–1800 BCE,1,,polity,shortugai_harappan_colony,polity
afghanistan,badakhshan,0,1,Prehistoric,Neolithic highland peoples,c.5000 BCE onward,1,,culture,neolithic_highland_peoples_culture,culture
afghanistan,herat,1,0,Ancient,East Iranian peoples (Avestan sphere — 'Haroiva'),c.1500–700 BCE,1,,people,east_iranian_peoples_avestan_sphere,people
