territory_id,polity_id,start_year,end_year
anatolia,hittite_empire,-1600,-1180
anatolia,neo_assyrian_empire,-911,-609
anatolia,achaemenid_empire,-550,-330
anatolia,macedonian_empire,-336,-323
anatolia,seleucid_empire,-312,-63
anatolia,roman_empire,-27,380
anatolia,roman_empire,380,395
anatolia,byzantine_empire,395,1453
anatolia,seljuk_rum,1077,1307
anatolia,ottoman_empire,1299,1922
anatolia,republic_of_turkey,1923,
aquitaine,carolingian_empire,486,843
aquitaine,kingdom_of_france,987,1792
aquitaine,angevin_empire,1154,1204
arabia,nabataean_kingdom,-115,106
arabia,rashidun_caliphate,632,661
arabia,umayyad_caliphate,661,750
arabia,abbasid_caliphate,750,1258
arabia,ottoman_empire,1517,1918
arabia,saudi_arabia,1932,
balkans,roman_republic,-509,-27
balkans,roman_empire,-27,380
balkans,roman_empire,380,395
balkans,western_roman_empire,395,476
balkans,byzantine_empire,395,1453
balkans,first_bulgarian_empire,681,1018
balkans,serbian_empire,1190,1389
balkans,ottoman_empire,1299,1922
bohemia,kingdom_of_bohemia,895,1526
bohemia,holy_roman_empire,962,1806
bohemia,habsburg_monarchy,1438,1918
bohemia,czechoslovakia,1918,1993
britannia,roman_empire,-27,380
britannia,kingdom_of_england,927,1707
britannia,angevin_empire,1154,1204
britannia,kingdom_of_great_britain,1707,1801
britannia,united_kingdom,1801,
caucasus,kingdom_of_urartu,-860,-590
caucasus,median_kingdom,-678,-550
caucasus,achaemenid_empire,-550,-330
caucasus,kingdom_of_armenia,-190,428
caucasus,sassanid_empire,224,651
caucasus,khazar_khaganate,650,969
caucasus,bagratid_armenia,885,1064
caucasus,ilkhanate,1256,1335
caucasus,ottoman_empire,1299,1922
caucasus,safavid_empire,1501,1736
caucasus,russian_empire,1801,1917
caucasus,soviet_union,1922,1991
central_asian_steppe,xiongnu,-209,93
central_asian_steppe,hunnic_empire,350,453
central_asian_steppe,goktürk_khaganate,552,744
central_asian_steppe,avar_khaganate,568,804
central_asian_steppe,uyghur_khaganate,744,840
central_asian_steppe,mongol_empire,1206,1368
central_asian_steppe,chagatai_khanate,1226,1347
central_asian_steppe,golden_horde,1242,1502
central_asian_steppe,kazakh_khanate,1465,1731
central_asian_steppe,russian_empire,1731,1917
