id,name,parent_id,description,founded
aboriginal_australian_spirituality,Aboriginal Australian spirituality,pacific_oceanic_traditions,,
abrahamic_religions,ABRAHAMIC RELIGIONS,,,
african_diaspora_folk_traditions,African-diaspora folk traditions,popular_folk_religion,,
african_traditions,African Traditions,animism_indigenous_traditions,,
ahmadiyya,Ahmadiyya,other_islamic_schools,,
ainu_spirituality,Ainu spirituality,shamanic_spiritual_traditions,,
alawites,Alawites,modern_minority_traditions,,
amazonian_shamanism,Amazonian shamanism,indigenous_american_traditions,,
anatolian_paganism,Anatolian paganism,ancient_mediterranean,,
ancient_historical_religions,ANCIENT & HISTORICAL RELIGIONS,,,
ancient_indo_iranian,Ancient Indo-Iranian,ancient_historical_religions,,
ancient_mediterranean,Ancient Mediterranean,ancient_historical_religions,,
ancient_near_eastern,Ancient Near Eastern,ancient_historical_religions,,
ancient_near_eastern_religion,Ancient Near Eastern Religion,pagan_polytheistic_traditions,Polytheistic religions of the ancient Near East,
andean_religion,Andean religion,indigenous_american_traditions,,
anglicanism,Anglicanism,protestant,,
animism_indigenous_traditions,ANIMISM & INDIGENOUS TRADITIONS,,,
anthroposophy,Anthroposophy,modern_spiritual_movements,,
arabian_paganism,Arabian paganism,middle_eastern_north_african,,
arianism,Arianism,early_christianity,,
armenian_apostolic,Armenian Apostolic,eastern_orthodox,,
armenian_apostolic_church,Armenian Apostolic Church,oriental_orthodox,,
assyrian_church_of_the_east,Assyrian Church of the East,eastern_orthodox,,
atheism_agnosticism,Atheism / Agnosticism,philosophical_secular_traditions,,
avestan_religion,Avestan religion,ancient_indo_iranian,,
aztec_religion,Aztec Religion,indigenous_american_traditions,Mexica polytheism centered on Huitzilopochtli,
bahá'í_faith,Bahá'í Faith,contemporary_movements,,
baltic_paganism,Baltic paganism,european_paganism,,
baptist,Baptist,protestant,,
bhakti_movements,Bhakti movements,other_dharmic_traditions,,
bon,Bon,vajrayana_buddhism,,
buddhism,Buddhism,dharmic_religions,,
bulgarian_orthodox,Bulgarian Orthodox,eastern_orthodox,,
burmese_buddhism,Burmese Buddhism,theravada_buddhism,,
calvinism,Calvinism,protestant,,
cambodian_buddhism,Cambodian Buddhism,theravada_buddhism,,
canaanite_religion,Canaanite religion,middle_eastern_north_african,,
candomblé,Candomblé,syncretic_hybrid_traditions,,
capoeira_spirituality,Capoeira spirituality,syncretic_hybrid_traditions,,
catholic,Catholic,christianity,,
celestial_masters,Celestial Masters,religious_taoism,,
celtic_paganism,Celtic paganism,european_paganism,,
chan_zen_buddhism,Chan / Zen Buddhism,other_buddhist_schools,,
chinese_folk_religion,Chinese folk religion,other_east_asian_traditions,,
chinese_folk_religion,Chinese folk religion,popular_religion,,
chinese_folk_religion,Chinese folk religion,popular_folk_religion,,
christian_folk_catholicism,Christian folk Catholicism,syncretic_blends,,
christian_indigenous_blends,Christian-Indigenous blends,syncretic_blends,,
christianity,Christianity,abrahamic_religions,,
classical_confucianism,Classical Confucianism,confucianism,,
classical_greek_religion,Classical Greek religion,ancient_mediterranean,,
confucian_canon,Confucian Canon,classical_confucianism,,
confucian_folk_blends,Confucian-Folk blends,syncretic_blends,,
confucianism,Confucianism,east_asian_traditions,,
conservative_judaism,Conservative Judaism,rabbinic_judaism,,
contemporary_movements,Contemporary Movements,new_religious_movements_syncretic_traditions,,
coptic_orthodox,Coptic Orthodox,eastern_orthodox,,
coptic_orthodox_church,Coptic Orthodox Church,oriental_orthodox,,
daodejing_tradition,Daodejing tradition,philosophical_taoism,,
