id,old_id,name,parent_id,description,founded
1,eastern_catholic_churches,Eastern Catholic Churches,2,,
2,catholic,Catholic,20,,
3,roman_catholicism,Roman Catholicism,2,,
4,arianism,Arianism,7,,
5,early_church,Early Church,7,,
6,gnostic_christianity,Gnostic Christianity,7,,
7,early_christianity,Early Christianity,20,,
8,nestorianism,Nestorianism,7,,
9,armenian_apostolic,Armenian Apostolic,15,,
10,assyrian_church_of_the_east,Assyrian Church of the East,15,,
11,bulgarian_orthodox,Bulgarian Orthodox,15,,
12,coptic_orthodox,Coptic Orthodox,15,,
13,georgian_orthodox,Georgian Orthodox,15,,
14,greek_orthodox,Greek Orthodox,15,,
15,eastern_orthodox,Eastern Orthodox,20,,
16,romanian_orthodox,Romanian Orthodox,15,,
17,russian_orthodox,Russian Orthodox,15,,
18,serbian_orthodox,Serbian Orthodox,15,,
19,syriac_orthodox,Syriac Orthodox,15,,
20,christianity,Christianity,37,,
21,armenian_apostolic_church,Armenian Apostolic Church,25,,
22,coptic_orthodox_church,Coptic Orthodox Church,25,,
23,eritrean_tewahido_church,Eritrean Tewahido Church,25,,
24,ethiopian_tewahido_church,Ethiopian Tewahido Church,25,,
25,oriental_orthodox,Oriental Orthodox,20,,
26,anglicanism,Anglicanism,30,,
27,baptist,Baptist,30,,
28,calvinism,Calvinism,30,,
29,evangelical,Evangelical,30,,
30,protestant,Protestant,20,,
31,jehovah's_witnesses,Jehovah's Witnesses,30,,
32,lutheranism,Lutheranism,30,,
33,methodism,Methodism,30,,
34,mormonism,Mormonism,30,,
35,pentecostalism,Pentecostalism,30,,
36,seventh_day_adventism,Seventh-day Adventism,30,,
37,abrahamic_religions,ABRAHAMIC RELIGIONS,,,
38,islam,Islam,37,,
39,ahmadiyya,Ahmadiyya,41,,
40,ibadi_islam,Ibadi Islam,41,,
41,other_islamic_schools,Other Islamic Schools,38,,
42,salafism,Salafism,41,,
43,sufism,Sufism,41,,
44,wahabism,Wahabism,41,,
45,shia,Shia,38,,
46,ismaili_shia,Ismaili Shia,45,,
47,twelver_shia,Twelver Shia,45,,
48,zaydi_shia,Zaydi Shia,45,,
49,hanafi_school,Hanafi School,51,,
50,hanbali_school,Hanbali School,51,,
51,sunni,Sunni,38,,
52,maliki_school,Maliki School,51,,
53,shafi'i_school,Shafi'i School,51,,
54,historical_judaism,Historical Judaism,60,,
55,karaite_judaism,Karaite Judaism,54,,
56,pharisaic_judaism,Pharisaic Judaism,54,,
57,sadducean_judaism,Sadducean Judaism,54,,
58,samaritan_judaism,Samaritan Judaism,54,,
59,temple_judaism,Temple Judaism,54,,
60,judaism,Judaism,37,,
61,conservative_judaism,Conservative Judaism,62,,
62,rabbinic_judaism,Rabbinic Judaism,60,,
63,orthodox_judaism,Orthodox Judaism,62,,
64,reconstructionist_judaism,Reconstructionist Judaism,62,,
65,reform_judaism,Reform Judaism,62,,
66,avestan_religion,Avestan religion,67,,
67,ancient_indo_iranian,Ancient Indo-Iranian,82,,
68,scythian_religion,Scythian religion,67,,
69,vedic_religion,Vedic religion,67,,
70,anatolian_paganism,Anatolian paganism,73,,
71,classical_greek_religion,Classical Greek religion,73,,
72,etruscan_religion,Etruscan religion,73,,
73,ancient_mediterranean,Ancient Mediterranean,82,,
74,minoan_religion,Minoan religion,73,,
75,roman_religion,Roman religion,73,,
76,egyptian_religion,Egyptian religion,79,,
77,elamite_religion,Elamite religion,79,,
