from_regime_id,from_name,to_regime_id,to_name,type,strength,shared_territories,shared_territory_count,same_ethnicity,related_ethnicity,same_language,same_religion,same_state,temporal_gap_years
roman_empire_pagan,Roman Empire (Pagan),roman_empire_christian,Roman Empire (Christian),A-,12,anatolia|balkans|egypt|gaul|iberia|italy|levant|north_africa,8,0,0,1,0,0,0
achaemenid_empire,Achaemenid Empire,macedonian_empire,Macedonian Empire (Alexander),A-,10,anatolia|egypt|iran_plateau|khorasan|levant|mesopotamia|transoxiana,7,0,1,0,0,0,-6
roman_republic,Roman Republic,roman_empire_pagan,Roman Empire (Pagan),A-,10,balkans|gaul|iberia|italy|north_africa,5,0,0,1,1,0,0
roman_empire_christian,Roman Empire (Christian),western_roman_empire,Western Roman Empire,A-,10,balkans|gaul|iberia|italy|north_africa,5,0,0,1,1,0,0
german_empire,German Empire (Deutsches Reich),weimar_republic,Weimar Republic,A,9,germany,1,1,0,1,1,0,0
macedonian_empire,Macedonian Empire (Alexander),seleucid_empire,Seleucid Empire,A,8,anatolia|iran_plateau|levant|mesopotamia,4,1,0,0,0,0,11
kingdom_of_great_britain,Kingdom of Great Britain,united_kingdom,United Kingdom of Great Britain and Ireland,A,8,britannia|scotland,2,1,0,0,1,0,0
habsburg_monarchy,Habsburg Monarchy,weimar_republic,Weimar Republic,A,8,germany,1,1,0,1,0,0,0
roman_empire_pagan,Roman Empire (Pagan),western_roman_empire,Western Roman Empire,A-,8,balkans|gaul|iberia|italy|north_africa,5,0,0,1,0,0,15
mongol_empire,Mongol Empire,yuan_dynasty,Yuan Dynasty,A-,8,manchuria|yangtze|yellow_river,3,1,0,1,0,0,-97
kingdom_of_egypt,Kingdom of Egypt,republic_of_egypt,Republic of Egypt,A,7,egypt,1,1,0,0,1,0,0
habsburg_monarchy,Habsburg Monarchy,german_empire,German Empire (Deutsches Reich),A,7,germany,1,1,0,1,0,0,-47
kingdom_of_iraq,Kingdom of Iraq,republic_of_iraq,Republic of Iraq,A,7,mesopotamia,1,1,0,0,1,0,0
kingdom_of_poland,Kingdom of Poland,polish_lithuanian_commonwealth,Polish-Lithuanian Commonwealth,A,7,poland,1,1,0,0,1,0,0
western_roman_empire,Western Roman Empire,carolingian_empire,Frankish Kingdom / Carolingian Empire,A-,7,gaul|italy,2,0,0,1,1,0,10
kingdom_of_france,Kingdom of France,angevin_empire,Angevin Empire,A-,7,gaul,1,1,0,1,1,0,-638
parthian_empire,Parthian Empire (Arsacid),sassanid_empire,Sassanid Empire,A-,7,iran_plateau|khorasan|mesopotamia,3,0,1,0,1,0,0
rashidun_caliphate,Rashidun Caliphate,umayyad_caliphate,Umayyad Caliphate,C,7,egypt|iran_plateau|levant|mesopotamia,4,0,0,0,1,0,0
kingdom_of_england,Kingdom of England,kingdom_of_great_britain,Kingdom of Great Britain,A,6,britannia,1,1,0,0,0,0,0
macedonian_empire,Macedonian Empire (Alexander),ptolemaic_egypt,Ptolemaic Kingdom,A,6,egypt|levant,2,1,0,0,0,0,18
feudal_japan,Feudal Japan,tokugawa_shogunate,Tokugawa Shogunate (Edo Period),A,6,japanese_archipelago,1,1,0,0,0,0,0
tokugawa_shogunate,Tokugawa Shogunate (Edo Period),empire_of_japan,Empire of Japan (Meiji),A,6,japanese_archipelago,1,1,0,0,0,0,0
empire_of_japan,Empire of Japan (Meiji),modern_japan,Modern Japan (Postwar),A,6,japanese_archipelago,1,1,0,0,0,0,0
mongol_empire,Mongol Empire,north_yuan,North Yuan,A,6,mongolian_plateau,1,1,0,0,0,0,0
achaemenid_empire,Achaemenid Empire,seleucid_empire,Seleucid Empire,A-,6,anatolia|iran_plateau|levant|mesopotamia,4,0,1,0,0,0,18
