start_year,end_year,panel_id,column_id,entity_id,core_name,label,note,has_regime_link
-9500,-5700,anatolia,central,catalhoyuk_gobekli_tepe_cayonu,Çatalhöyük · Göbekli Tepe · Çayönü,Çatalhöyük · Göbekli Tepe · Çayönü,c.9500–5700 BCE,false
-7000,,afghanistan,herat,neolithic_farmers,Neolithic farmers,Neolithic farmers,c.7000 BCE,false
-7000,-3300,pakistan,south,chalcolithic,Chalcolithic,Chalcolithic (Copper-Stone Age),c.7000–3300 BCE,false
-7000,-2500,pakistan,south,mehrgarh,Mehrgarh,Mehrgarh — earliest Neolithic farming in South Asia,c.7000–2500 BCE,false
-6500,-3800,iraq,central,ubaid_culture,Ubaid culture,Ubaid culture,c.6500–3800 BCE,false
-6100,-5000,iraq,nw,halaf_hassuna_cultures,Halaf · Hassuna cultures,Halaf · Hassuna cultures,c.6100–5000 BCE,false
-6100,-5100,iraq,sw,halaf_culture,Halaf culture,Halaf culture,c.6100–5100 BCE,false
-6000,-3000,uzbekistan,khorezm,kelteminar_culture,Kelteminar culture,Kelteminar culture,c.6000–3000 BCE,false
-6000,-4000,armenia,main,shulaveri_shomu_culture,Shulaveri-Shomu culture,Shulaveri-Shomu culture,c.6000–4000 BCE,false
-6000,-4000,georgia,west,shulaveri_shomu_culture,Shulaveri-Shomu culture,Shulaveri-Shomu culture,c.6000–4000 BCE,false
-6000,-4000,georgia,south,shulaveri_shomu_culture,Shulaveri-Shomu culture,Shulaveri-Shomu culture,c.6000–4000 BCE,false
-5500,,france,north,early_european_farmers,Early European farmers,Early European farmers,c.5500 BCE–,false
-5500,-4500,france,north,cardial_impressed_ware_culture,Cardial / Impressed Ware culture,Cardial / Impressed Ware culture,c.5500–4500 BCE,false
-5500,,poland,greater,early_european_farmers_danubian_culture,Early European farmers · Danubian culture,Early European farmers · Danubian culture,c.5500 BCE–,false
-5500,-4500,poland,greater,linear_pottery_culture,Linear Pottery culture,Linear Pottery culture (Linearbandkeramik),c.5500–4500 BCE,false
-5500,-2750,ukraine,west,trypillia_culture,Trypillia culture,Trypillia culture,c.5500–2750 BCE,false
-5500,-4800,iraq,central,samarra_culture,Samarra culture,Samarra culture,c.5500–4800 BCE,false
-5000,,afghanistan,badakhshan,neolithic_highland_peoples,Neolithic highland peoples,Neolithic highland peoples,c.5000 BCE onward,false
-5000,-3000,kazakhstan,caspian,kelteminar_culture,Kelteminar culture,Kelteminar culture,c.5000–3000 BCE,false
-5000,-3000,kazakhstan,aral,kelteminar_culture,Kelteminar culture,Kelteminar culture,c.5000–3000 BCE,false
-4500,-2000,france,north,atlantic_megalithic_culture,Atlantic megalithic culture,Atlantic megalithic culture,c.4500–2000 BCE,false
-4000,-2800,italy,sardinia,ozieri_arzachena_cultures,Ozieri · Arzachena cultures,Ozieri · Arzachena cultures,c.4000–2800 BCE,false
-3500,-2200,kazakhstan,ural,yamna_culture,Yamna culture,Yamna culture (Pontic–Caspian steppe),c.3500–2200 BCE,false
-3500,-2000,kazakhstan,caspian,yamna_early_pastoral_cultures,Yamna / early pastoral cultures,Yamna / early pastoral cultures,c.3500–2000 BCE,false
-3500,-3000,kazakhstan,steppe,botai_culture,Botai culture,Botai culture (horse domestication),c.3500–3000 BCE,false
-3500,-2200,armenia,main,kura_araxes_culture,Kura-Araxes culture,Kura-Araxes culture,c.3500–2200 BCE,false
-3500,-2200,georgia,west,kura_araxes_culture,Kura-Araxes culture,Kura-Araxes culture,c.3500–2200 BCE,false
-3500,-2200,georgia,south,kura_araxes_culture,Kura-Araxes culture,Kura-Araxes culture,c.3500–2200 BCE,false
-3500,-2334,iraq,nw,sumerian_city_states,Sumerian city-states,Sumerian city-states,"Uruk → Jemdet Nasr → Early Dynastic, c.3500–2334 BCE",false
-3400,-2200,italy,center,rinaldone_gaudo_cultures,Rinaldone · Gaudo cultures,Rinaldone · Gaudo cultures,c.3400–2200 BCE,false
-3300,-2500,kazakhstan,zhetysu,afanasievo_culture,Afanasievo culture,Afanasievo culture,c.3300–2500 BCE,false
-3300,-2500,uzbekistan,khorezm,afanasievo_culture,Afanasievo culture,Afanasievo culture,c.3300–2500 BCE,false
-3300,,pakistan,south,dravidian_pre_aryan_populations,Dravidian / pre-Aryan populations,Dravidian / pre-Aryan populations,c.3300 BCE onward,false
-3300,-1300,pakistan,south,indus_valley_civilization,Indus Valley Civilization,Indus Valley Civilization (Harappa · Kot Diji · Amri-Nal · Mohenjo-daro · Ganeriwal),c.3300–1300 BCE,false
-3200,-2350,afghanistan,kandahar,helmand_culture,Helmand culture,Helmand culture (Helmand Civilization),c.3200–2350 BCE,false
-3200,-2300,poland,greater,corded_ware_culture_globular_amphora_culture,Corded Ware culture · Globular Amphora culture,Corded Ware culture · Globular Amphora culture,c.3200–2300 BCE,false
-3100,-2700,iran,central,proto_elamite,Proto-Elamite,Proto-Elamite,c.3100–2700 BCE,false
-3000,-2000,afghanistan,kandahar,mundigak,Mundigak,Mundigak — Indus-related urban site,c.3000–2000 BCE,false
-3000,-2000,afghanistan,kabul,mundigak,Mundigak,Mundigak (eastern contacts),c.3000–2000 BCE,false
-3000,-2000,uzbekistan,khorezm,primitive_nomads,Primitive nomads,Primitive nomads,c.3000–2000 BCE,false
-3000,-1100,greece,north,minoan_civilization,Minoan civilization,Minoan civilization — Crete & Cyclades,c.3000–1100 BCE,false
-3000,-1000,scandinavia,finland,finnic_peoples_migration,Finnic peoples migration,Finnic peoples (Suomalaiset) migration,c.3000–1000 BCE,false
-3000,-1180,anatolia,west,troy,Troy,Troy,c.3000–1180 BCE,false
-3000,-1200,arabia,oman,magan,Magan,Magan,"Bronze Age, c.3000–1200 BCE",false
-3000,-800,arabia,gulf,dilmun,Dilmun,Dilmun,c.3000–800 BCE,false
-3000,-1600,levant,n_syria,ebla,Ebla,Ebla (c.3000–1600 BCE),major bronze age city-state,false
-3000,,levant,coastal,byblos_gubla,Byblos / Gubla,Byblos / Gubla,c.3000 BCE onward,false
-2900,-1761,iraq,sw,mari_kingdom,Mari Kingdom,Mari Kingdom,c.2900–1761 BCE,false
-2900,-1761,levant,n_syria,mari,Mari,Mari (c.2900–1761 BCE),on middle Euphrates,false
-2879,-258,vietnam,north,van_lang,Văn Lang,Văn Lang (Hùng kings — Lạc Việt),c.2879–258 BCE (trad.),false
-2700,-539,iran,central,elam,Elam,Elam,c.2700–539 BCE,true
-2700,-539,iran,central,elam,Elam,Elam (continued),c.2700–539 BCE,true
-2686,-2181,egypt,lower,old_kingdom,Old Kingdom,Old Kingdom (3rd–6th Dynasty),c.2686–2181 BCE,false
-2500,-1700,afghanistan,kabul,indus_valley_contacts,Indus Valley contacts,Indus Valley contacts,c.2500–1700 BCE,false
-2500,-1900,kazakhstan,ural,abashevo_culture,Abashevo culture,Abashevo culture,c.2500–1900 BCE,false
-2500,,somalia,dji,punt,Punt,Punt (Egyptian trading land — incense coast),known since c.2500 BCE,false
-2400,-1800,anatolia,central,hatti,Hatti,Hatti,c.2400–1800 BCE,false
-2400,-550,iran,central,anshan_kingdom,Anshan Kingdom,Anshan Kingdom,c.2400–550 BCE,false
-2334,-2100,anatolia,central,akkadian_empire,Akkadian Empire,Akkadian Empire (campaigns),c.2334–2100 BCE; Bronze Age Collapse (c.1200 BCE),true
-2334,-2154,arabia,gulf,akkadian_empire,Akkadian Empire,Akkadian Empire,c.2334–2154 BCE,true
-2334,-2154,iraq,nw,akkadian_empire,Akkadian Empire,Akkadian Empire,c.2334–2154 BCE,true
-2334,-2154,iran,western,akkadian_empire,Akkadian Empire,Akkadian Empire,c.2334–2154 BCE,true
-2333,-108,manchuria,east,joseon,Gojoseon,Gojoseon,c.2333–108 BCE,true
-2300,-1700,afghanistan,balkh,bmac_oxus_civilization,BMAC / Oxus Civilization,BMAC / Oxus Civilization,c.2300–1700 BCE,false
